CreatedAt,UserName,Text,Link,Type
"September 15, 2025 at 11:58AM",@DaveMasonBOL,"NFL Week 3:

MIA +13 @ BUF
IND -3 @ TEN
ATL -3.5 @ CAR
LV +5.5 @ WAS
GB -9 @ CLE
CIN +3.5 @ MIN
LAR +3.5 @ PHI
PIT -1 @ NE
NYJ +7 @ TB
HOU +1.5 @ JAX
DEN +2.5 @ LAC
NO +7.5 @ SEA
DAL +1.5 @ CHI
AZ +1.5 @ SF
KC -6 @ NYG
DET +6 @ BAL

You top early play is ___________.",https://twitter.com/DaveMasonBOL/status/1967634213852880936,NEWS
"September 15, 2025 at 12:08PM",@dolocole,"NfL, MLB, Tennis betting splits for 09/15 📊 

Bracco bettors were the only ones on the NFL under last night. Wondering how sharp the book is https://t.co/1T18uG9NbE",https://twitter.com/dolocole/status/1967636692283928643,NEWS
"September 15, 2025 at 12:28PM",@dolocole,@TKGGpix Yesterday is what I was talking about,https://twitter.com/dolocole/status/1967641754477396351,SPLITS
"September 15, 2025 at 12:29PM",@dolocole,@TKGGpix Ah I see they on under. Doesn't mean anything. That was just one game they were right on,https://twitter.com/dolocole/status/1967642051992031355,NEWS
"September 15, 2025 at 12:41PM",@SBD,When bro who doesn’t want to make a parlay for tonight https://t.co/jLMXOI0qBO,https://twitter.com/SBD/status/1967644861512991000,NEWS
"September 15, 2025 at 12:48PM",@BFawkes22,"One bettor at @BetMGM this offseason wagered $50,000 on the Cincinnati Bengals to win  Super Bowl 60 at 20-1 odds.

It's one of five reported seven-figure liability Super Bowl wagers at sportsbooks.

Bengals now 50-1 to win Super Bowl after Joe Burrow injury",https://twitter.com/BFawkes22/status/1967646664111657393,SPLITS
"September 15, 2025 at 12:58PM",@WagerTalk,"Will we continue to see OVERS cash in the NFL? 🤔

@teddy_covers https://t.co/6KpwRlYZ2r",https://twitter.com/WagerTalk/status/1967649281856376939,NEWS
"September 15, 2025 at 12:58PM",@WagerTalk,"Watch the week 3 Opening Line Report with @teddy_covers & @kellyinvegas here ⤵️

https://t.co/E8gl9MUhEw",https://twitter.com/WagerTalk/status/1967649283668398427,NEWS
"September 15, 2025 at 01:04PM",@SuperBookNV,"What are you betting tonight? 🏈

Don't forget! We've reduced the juice for the full game point spreads and have $1 beers + $2 hot dogs at @WestgateVegas during the games 🍻🌭 https://t.co/Um8ECNfYZC",https://twitter.com/SuperBookNV/status/1967650846629564675,SPLITS
"September 15, 2025 at 01:10PM",@WagerTalk,"🤑 For a limited time when you buy three months of all-access from ANY WagerTalk handicapper we'll throw in 30 extra days for FREE! Just use the link below for this spectacular special before it's gone 💰

SPECIAL OFFER 👉 https://t.co/wchpLHA9ZX https://t.co/ORwsUepR1L",https://twitter.com/WagerTalk/status/1967652135354634340,SPLITS
"September 15, 2025 at 01:15PM",@DaveMasonBOL,@wallstreetkid3 decent result for us. nothing huge though.,https://twitter.com/DaveMasonBOL/status/1967653544460423330,SPLITS
"September 15, 2025 at 01:20PM",@DaveMasonBOL,"MNF double-header early $$$

BUCS @ TEXANS
63% HOU -2.5
62% TB +125
54% U 42.5

CHARGERS @ RAIDERS
67% LAC -3.5
89% LAC -190
68% O 46.5",https://twitter.com/DaveMasonBOL/status/1967654746120216932,SPLITS
"September 15, 2025 at 01:36PM",@SBD,"We have you covered with our MNF Doubleheader betting analysis 💰

Bucs vs Texans Picks: https://t.co/6WFFLKTTy0

Bucs vs Texans Player Props: https://t.co/iwWmkAtQMX

Chargers vs Raiders Picks: https://t.co/ThOQvX70A1

Chargers vs Raiders Player Props: https://t.co/d5ep0PEkKo",https://twitter.com/SBD/status/1967658876570116492,NEWS
"September 15, 2025 at 01:36PM",@PatrickE_Vegas,"The Cowboys gave more than 3,500 entries a huge sweat in @CircaSports Circa Survivor. But Dallas survives, and those entries advance.

From director of sportsbook ops @JeffreyBenson12:

""A sweat of a lifetime. An unbelievable roller-coaster ride. Years are taken off some lives",https://twitter.com/PatrickE_Vegas/status/1967658762594103574,NEWS
"September 15, 2025 at 01:36PM",@PatrickE_Vegas,"Updated @VegasInsider Circa Survivor Report:

https://t.co/KsquApNvoE",https://twitter.com/PatrickE_Vegas/status/1967658764414366137,NEWS
"September 15, 2025 at 01:45PM",@BFawkes22,"With Joe Burrow, Jayden Daniels and JJ McCarthy injures, a good reminder to check out this @YahooSports I wrote on QB values against the spread:

https://t.co/nEpCN6y0vG",https://twitter.com/BFawkes22/status/1967661030194266161,SPLITS
"September 15, 2025 at 01:39PM",@WagerTalk,".@BillKrackman talks about tonight's Monday Night Football games 👀

Don't miss the latest episode of KIV & Krack! OUT NOW on the WagerTalk YouTube channel https://t.co/nNNxq6Fx8w",https://twitter.com/WagerTalk/status/1967659593313685940,SPLITS
"September 15, 2025 at 01:39PM",@WagerTalk,https://t.co/shmbKV52qf,https://twitter.com/WagerTalk/status/1967659594823639360,NEWS
"September 15, 2025 at 02:15PM",@SBD,"Most bet on #NFL player props tonight at @DKSportsbook🎟️

TB vs HOU:
1. Mayfield 15+ Rush Yards (-155)
2. Egbuka 40+ Rec Yards (-222)
3. Irving 15+ Rec Yards (-172)

LAC vs LV:
1. Herbert 250+ Pass Yards (-126)
2. Herbert 15+ Rush Yards (-148)
3. McConkey 60+ Rec Yards (-203) https://t.co/m629wiO8BI",https://twitter.com/SBD/status/1967668540242104442,NEWS
"September 15, 2025 at 02:59PM",@DaveMasonBOL,"Not too much Survivor carnage yet, but 4,942 have been eliminated from our $1,000,000 contest so far.

Those who RIP'd yesterday:

3% had Steelers
2% had Vikings
1% had Dolphins (yes those Dolphins) https://t.co/2111jAAYG5",https://twitter.com/DaveMasonBOL/status/1967679701415252297,NEWS
"September 15, 2025 at 03:02PM",@WagerTalk,"RT @teddy_covers: #NFL Week 2 is 10-4 to the OVER, after Unders went 12-4 in Week 1.  Which trend is more likely to cash moving forward?  H…",https://twitter.com/WagerTalk/status/1967680438220296591,SPLITS
"September 15, 2025 at 03:12PM",@SBD,"We’ve got another one, and Week 3 hasn’t even started 

Jake Browning vs Carson Wentz 🔥 https://t.co/dXN4MQ3gpL https://t.co/tMViT7C87k",https://twitter.com/SBD/status/1967682915732455917,NEWS
"September 15, 2025 at 03:24PM",@WagerTalk,RT @JoeRaineri: 🧐What We Learned Week 3 CFB: Is the Dabo Era coming to an end? Texas.. We may have a problem.. Plus Ole Miss & Notre Dame #…,https://twitter.com/WagerTalk/status/1967686010462159072,SPLITS
"September 15, 2025 at 03:28PM",@SBD,"Canadians can tail our Chargers vs Raiders banger at @BET99Sportsbook tonight 👀🇨🇦

From +260 odds to +290 for:

- Chargers ML ⚡️
- Ashton Jeanty 69+ Rush Yards 💪
- Omarion Hampton 60+ Rush Yards 🌬️

Use code SBD to get a First-Bet Encore Up to $800🏈👇https://t.co/cdXhAFMOjS https://t.co/coB4MUZGHE",https://twitter.com/SBD/status/1967686861905879074,SPLITS
"September 15, 2025 at 03:36PM",@WagerTalk,"🗓️ Limited Time: 365 Flex Picks for ONLY $3.25 Each! 
🎯 Flex Picks give you ultimate flexibility! 
📌 Choose your handicapper for the day. 
🔥 Get full access to all selections. 
📅 Plan ahead or go day-by-day. 
🔄 Switch experts anytime. 
🚫 Skip days as needed.
🎟️ Buy once. https://t.co/yyYHNQU1qI",https://twitter.com/WagerTalk/status/1967688908738560392,
"September 15, 2025 at 03:34PM",@BettingSplits,"DraftKings Betting Splits for All Sports Monday 9/15

Provided by DraftKings Sportsbook https://t.co/hHXXRlFzI9",https://twitter.com/BettingSplits/status/1967688544098664630,SPLITS
"September 15, 2025 at 03:35PM",@BettingSplits,"Circa Sports Betting Splits for All Sports Monday 9/15

Provided by Circa Sports https://t.co/qNQcKcsTe7",https://twitter.com/BettingSplits/status/1967688678572167256,NEWS
,,,,
"September 15, 2025 at 07:57AM",BetMGMNews,"Updated College Football National Championship betting at @BetMGM 

Highest Ticket% 🎟️
1. Penn State 10.5%
2. LSU 10.0%
3. Texas 10.0%

Highest Handle% 💰
1. Texas 15.5%
2. Penn State 13.2%
3. LSU 11.7% https://t.co/cGhsNzwBqf",https://twitter.com/BetMGMNews/status/1967573423921770819,SPLITS
"September 15, 2025 at 08:42AM",@SBD,"The Kansas City Chiefs are 0-2…

They are still -165 to make the NFL Playoffs https://t.co/whvv67uIFY",https://twitter.com/SBD/status/1967584838061625371,
,,,,
"September 15, 2025 at 08:00AM",@WagerTalk,Beat the Books! Your Daily MLB Betting Fix - Predictions & Best Bets for September 15 | Total Bases https://t.co/YnbcdGmavt,https://twitter.com/WagerTalk/status/1967574311369384356,
